[1742219335730678558] {"ok_rate":"0.00","green_blocked":false,"red_blocked":false,"reward":0}
[1742219998015877926] {"ok_rate":"19.20","green_blocked":false,"red_blocked":false,"reward":1}
[1742219998015919718] Wait
[1742220008040980389] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742220008041022431] ToggleRed
[1742220018080120102] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220018080180602] ToggleRed
[1742220028128786982] {"ok_rate":"19.20","green_blocked":false,"red_blocked":false,"reward":1}
[1742220028128834982] ToggleGreen
[1742220038169016320] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220038169055904] ToggleRed
[1742220048203009158] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220048203068617] ToggleRed
[1742220058273257413] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220058273330413] ToggleGreen
[1742220068307255710] {"ok_rate":"49.20","green_blocked":false,"red_blocked":false,"reward":1}
[1742220068307314668] ToggleGreen
[1742220078363795798] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220078363834756] ToggleGreen
[1742220088391793928] {"ok_rate":"19.80","green_blocked":false,"red_blocked":false,"reward":1}
[1742220088391813719] ToggleGreen
[1742220098411830349] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220098411879974] ToggleRed
[1742220108440466312] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220108440516687] ToggleGreen
[1742220118515757317] {"ok_rate":"29.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742220118515799067] Wait
[1742220128543969780] {"ok_rate":"21.00","green_blocked":false,"red_blocked":true,"reward":1}
[1742220128544107363] ToggleGreen
[1742220138612324243] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220138612378077] Wait
[1742220148627203373] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220148627256665] ToggleGreen
[1742220158690091169] {"ok_rate":"31.80","green_blocked":false,"red_blocked":true,"reward":1}
[1742220158691952836] ToggleGreen
[1742220168734020508] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220168734075049] Wait
[1742220178763595137] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220178763720346] Wait
[1742220188790927767] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220188790985850] ToggleGreen
[1742220198819849272] {"ok_rate":"49.80","green_blocked":false,"red_blocked":true,"reward":1}
[1742220198819880605] Wait
[1742220208864258402] {"ok_rate":"24.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742220208864474902] Wait
[1742220218888433323] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742220218888462740] Wait
[1742220228908876203] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220228908923536] ToggleGreen
[1742220238942917541] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220238942980749] ToggleGreen
[1742220249004279254] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742220249004366421] ToggleRed
[1742220259057254134] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742220259057316884] Wait
[1742220269072467930] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742220269072497139] ToggleRed
[1742220279106459102] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742220279106561102] Wait
[1742220289126241357] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220289126288607] Wait
[1742220299149949486] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742220299150046778] Wait
[1742220309176839116] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742220309176913158] ToggleRed
[1742220319222619621] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742220319222673246] ToggleGreen
[1742220329258395959] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220329258480417] Wait
[1742220339279307381] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220339279352589] ToggleRed
[1742220349310516302] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220349310576260] ToggleRed
[1742220359358384765] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220359358475223] ToggleGreen
[1742220369393334728] {"ok_rate":"53.00","green_blocked":false,"red_blocked":false,"reward":1}
[1742220369393362520] ToggleGreen
[1742220379422930900] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220379422985358] ToggleGreen
[1742220389467316071] {"ok_rate":"19.80","green_blocked":false,"red_blocked":false,"reward":1}
[1742220389467343654] ToggleGreen
[1742220399501485034] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220399501577493] ToggleGreen
[1742220409544114956] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742220409544231206] Wait
[1742220419568463335] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742220419568585252] ToggleRed
[1742220429605299924] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742220429605356715] ToggleRed
[1742220439660041428] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742220439660134345] ToggleRed
[1742220449691627660] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742220449691817708] ToggleGreen
[1742220459730247275] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220459730324973] ToggleGreen
[1742220469770609896] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220469770627235] ToggleRed
[1742220479811793752] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742220479811847019] ToggleGreen
[1742220489851347941] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220489851466097] ToggleRed
[1742220499890150059] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220499890252082] ToggleGreen
[1742220509948378312] {"ok_rate":"31.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220509948426032] Wait
[1742220519975620576] {"ok_rate":"21.80","green_blocked":false,"red_blocked":true,"reward":1}
[1742220519975686547] Wait
[1742220529993458991] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220529993509791] Wait
[1742220540027906524] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742220540027959449] Wait
[1742220550054181534] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742220550054244460] ToggleGreen
[1742220560089791463] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220560089862222] ToggleRed
[1742220570122460622] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220570122486875] Wait
[1742220580143617846] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220580143661808] Wait
[1742220590169370009] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220590169435222] ToggleGreen
[1742220600216113059] {"ok_rate":"53.00","green_blocked":false,"red_blocked":false,"reward":1}
[1742220600216130686] ToggleGreen
[1742220610245055128] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220610245283893] ToggleRed
[1742220620280071339] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220620280167470] ToggleGreen
[1742220630334382999] {"ok_rate":"31.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742220630334869095] Wait
[1742220640354340372] {"ok_rate":"21.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220640354428125] Wait
[1742220650373518792] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220650373645588] ToggleRed
[1742220660440181569] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742220660440285572] Wait
[1742220670460191007] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742220670460275468] Wait
[1742220680483083665] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742220680483147083] ToggleRed
[1742220690513596663] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220690513691871] ToggleRed
[1742220700563899898] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742220700564001065] ToggleGreen
[1742220710592947223] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220710593150934] Wait
[1742220720598809960] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220720598826835] ToggleGreen
[1742220730623149689] {"ok_rate":"31.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742220730623165690] ToggleRed
[1742220740648892657] {"ok_rate":"21.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220740648991326] ToggleRed
[1742220750697134009] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742220750697191509] ToggleRed
[1742220760734523527] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220760734586902] Wait
[1742220770760793695] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220770760851654] Wait
[1742220780773870049] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220780773905383] ToggleRed
[1742220790806375994] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742220790806425786] Wait
[1742220800824623265] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742220800824668974] Wait
[1742220810847158314] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742220810847211813] Wait
[1742220820871723897] {"ok_rate":"19.20","green_blocked":false,"red_blocked":false,"reward":1}
[1742220820871780522] ToggleRed
[1742220830893478893] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220830893518851] ToggleRed
[1742220840934320590] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742220840934344924] ToggleRed
[1742220850951093382] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742220850951111341] Wait
[1742220860958112586] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220860958131919] Wait
[1742220870965891785] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742220870965909618] Wait
[1742220880971068126] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742220880971081792] ToggleGreen
[1742220891002615790] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220891002676748] ToggleRed
[1742220901036961712] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220901037002838] ToggleGreen
[1742220911104147159] {"ok_rate":"27.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742220911104221576] ToggleRed
[1742220921141184801] {"ok_rate":"21.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742220921141255052] Wait
[1742220931167695841] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742220931167751799] ToggleGreen
[1742220941203836744] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220941204322701] ToggleRed
[1742220951253864078] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220951253927286] Wait
[1742220961285009338] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220961285065380] Wait
[1742220971313834777] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220971313883611] Wait
[1742220981329358327] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742220981329422453] ToggleRed
[1742220991353295176] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742220991353346301] Wait
[1742221001377834157] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221001377888032] ToggleRed
[1742221011413273772] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221011413299647] ToggleGreen
[1742221021445520449] {"ok_rate":"50.20","green_blocked":false,"red_blocked":false,"reward":1}
[1742221021445555783] ToggleRed
[1742221031476316383] {"ok_rate":"23.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742221031476362050] Wait
[1742221041493582569] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742221041493631486] Wait
[1742221051507737649] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742221051507784357] ToggleGreen
[1742221061532692355] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221061533349812] ToggleGreen
[1742221071574219961] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742221071574256128] Wait
[1742221081579951550] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742221081579968134] Wait
[1742221091588339738] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742221091588362405] Wait
[1742221101596403440] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742221101596426190] Wait
[1742221111603664658] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742221111603683867] Wait
[1742221121611796000] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742221121611814916] Wait
[1742221131617869237] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742221131617887571] ToggleGreen
[1742221141645797297] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221141645848047] Wait
[1742221151671880214] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221151671943214] ToggleGreen
[1742221161730553414] {"ok_rate":"27.80","green_blocked":false,"red_blocked":true,"reward":1}
[1742221161730612623] Wait
[1742221171749629574] {"ok_rate":"21.00","green_blocked":false,"red_blocked":true,"reward":1}
[1742221171749667449] Wait
[1742221181771221421] {"ok_rate":"19.20","green_blocked":false,"red_blocked":true,"reward":1}
[1742221181771312837] ToggleRed
[1742221191825724675] {"ok_rate":"18.80","green_blocked":false,"red_blocked":false,"reward":1}
[1742221191825823509] Wait
[1742221201849517443] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742221201849577402] Wait
[1742221211881968729] {"ok_rate":"19.20","green_blocked":false,"red_blocked":false,"reward":1}
[1742221211882222397] Wait
[1742221221911376426] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742221221911427968] ToggleGreen
[1742221231945431874] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221231945492123] ToggleGreen
[1742221241994729175] {"ok_rate":"19.40","green_blocked":false,"red_blocked":false,"reward":1}
[1742221241994777634] ToggleGreen
[1742221252028082769] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221252028137561] Wait
[1742221262055539371] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221262055606371] ToggleRed
[1742221272086668300] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221272086777426] ToggleRed
[1742221282138756962] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221282138834712] Wait
[1742221292164039886] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221292164097802] ToggleGreen
[1742221302206541659] {"ok_rate":"52.20","green_blocked":false,"red_blocked":false,"reward":1}
[1742221302206554368] Wait
[1742221312212199421] {"ok_rate":"20.00","green_blocked":false,"red_blocked":false,"reward":1}
[1742221312212220629] ToggleGreen
[1742221322240167867] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221322240255867] ToggleRed
[1742221332283928354] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221332283987937] ToggleRed
[1742221342339468382] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221342339520007] ToggleRed
[1742221352376800813] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221352376840146] Wait
[1742221362406930868] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221362406995619] Wait
[1742221372426214317] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221372426257983] ToggleRed
[1742221382450541779] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221382450556487] Wait
[1742221392458498354] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221392458520979] Wait
[1742221402480478103] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221402480517312] ToggleGreen
[1742221412514221950] {"ok_rate":"53.00","green_blocked":false,"red_blocked":false,"reward":1}
[1742221412514240241] Wait
[1742221422540407121] {"ok_rate":"24.80","green_blocked":false,"red_blocked":false,"reward":1}
[1742221422540474996] ToggleRed
[1742221432578142124] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742221432578212416] ToggleGreen
[1742221442612551533] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221442612634617] ToggleGreen
[1742221452673891353] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742221452673956062] Wait
[1742221462691711329] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742221462691766496] ToggleGreen
[1742221472727020775] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221472727081942] ToggleGreen
[1742221482768640042] {"ok_rate":"19.40","green_blocked":false,"red_blocked":true,"reward":1}
[1742221482768826918] Wait
[1742221492784332055] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742221492784382138] ToggleRed
[1742221502818956740] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742221502818973282] ToggleRed
[1742221512852589760] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742221512852639261] Wait
[1742221522872281411] {"ok_rate":"19.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742221522872332578] ToggleGreen
[1742221532899468030] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221532899528280] Wait
[1742221542925863720] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221542925915345] Wait
[1742221552950387744] {"ok_rate":"0.00","green_blocked":true,"red_blocked":true,"reward":0}
[1742221552950446536] ToggleRed
[1742221562996186332] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221562996235791] Wait
[1742221573007613359] {"ok_rate":"0.00","green_blocked":true,"red_blocked":false,"reward":0}
[1742221573007647651] ToggleGreen
[1742221583051067341] {"ok_rate":"52.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742221583051082675] ToggleRed
[1742221593092580519] {"ok_rate":"23.60","green_blocked":false,"red_blocked":true,"reward":1}
[1742221593092644769] ToggleRed
[1742221603130067784] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742221603130117701] Wait
[1742221613163148760] {"ok_rate":"19.60","green_blocked":false,"red_blocked":false,"reward":1}
[1742221613163206344] Wait
